filename,condition,subject,band,wasserstein_h0,wasserstein_h1,n_windows,tau,corr_mean_persistence_r,corr_mean_persistence_p,corr_total_persistence_r,corr_total_persistence_p,corr_persistence_entropy_r,corr_persistence_entropy_p,corr_max_persistence_r,corr_max_persistence_p,corr_n_features_r,corr_n_features_p
bb01_ut01.mat,slow,bb01,delta,13.254665505136867,0.8150587301908722,15,84,-0.21499357873098957,0.4415997366587765,0.12396026161066065,0.6598283798417477,0.2776935408393697,0.3163005479758518,-0.2053091832926567,0.4629173610749824,0.3163595888555538,0.2506499776230186
bb01_ut01.mat,slow,bb01,theta,16.25861168570581,1.5804781353756325,15,12,0.22499999999999998,0.420104686907635,0.3928571428571428,0.14746665531132622,-0.3321428571428571,0.2264717590707243,0.0035714285714285704,0.9899214068809781,0.05733018100313319,0.839180682491272
bb01_ut01.mat,slow,bb01,alpha,16.735946968890886,1.3603958736806,15,7,-0.175,0.5327481481378592,0.039285714285714285,0.8894459296739485,0.3214285714285714,0.24271904680166836,0.23928571428571427,0.39037931192023567,0.011807686424314848,0.9666863737320586
bb01_ut01.mat,slow,bb01,beta,15.39010035056793,1.2254977850315456,15,4,0.014285714285714282,0.9596997645989476,0.2321428571428571,0.40509874069364893,-0.4107142857142856,0.12832864601574887,-0.4035714285714285,0.13576799650365623,0.19855014509781316,0.4780881571254555
bb01_ut01.mat,slow,bb01,gamma,19.521318850345104,1.1683664065782413,15,2,-0.11428571428571425,0.6850657626568972,0.10357142857142855,0.7133796306287292,-0.21071428571428572,0.450957865215285,-0.47142857142857136,0.07607042915033121,0.011764749240571764,0.9668074530084911
bb01_ut02.mat,slow,bb01,delta,13.007188321083438,0.8124253221112333,15,81,0.26186146828319085,0.3457851775315717,-0.032732683535398856,0.907807194891725,0.017870172514372396,0.9495985980322407,-0.32005290567945555,0.24485589328092958,0.06253579351161423,0.8247781315596683
bb01_ut02.mat,slow,bb01,theta,15.596513496993483,1.5943605815223543,15,12,0.2928571428571428,0.289471667212401,-0.04642857142857142,0.8694915255450946,-0.15357142857142855,0.5847640949410158,0.7249999999999999,0.0022270323137542148,-0.05211244127632928,0.8536644637629756
bb01_ut02.mat,slow,bb01,alpha,14.768225026501884,1.3119824312721584,15,7,0.36428571428571427,0.18191025904581395,-0.3285714285714285,0.23180969720615968,0.25,0.36884629178393047,-0.0857142857142857,0.7613341261907667,-0.18428191800799368,0.5108786210176612
bb01_ut02.mat,slow,bb01,beta,14.934024242598063,1.163557287185565,15,4,-0.15,0.5936302027425882,0.5035714285714286,0.05565451716115848,-0.3178571428571428,0.24829056581701822,0.15714285714285714,0.5759526006037947,0.11850900208935732,0.6740088836931287
bb01_ut02.mat,slow,bb01,gamma,19.431667545457938,1.2236587419135772,15,2,-0.014285714285714282,0.9596997645989476,0.007142857142857141,0.9798442277615982,-0.09285714285714285,0.742045009907367,0.06071428571428571,0.8298120954425188,-0.1036697247706422,0.7131182225554002
